model,task_id,track,original_status,recovery_status,original_practical_score,recovery_practical_score,recovery_scoreable,recovery_selected,selected_practical_score,selection_reason,reliability_annotation
deepseek-r1:8b,CODE_08,code,truncated_before_final,truncated,,0.0,True,True,0.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
deepseek-r1:8b,CORE_EXT_04,core,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
deepseek-r1:8b,CORE_LOGIC_01,core,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
deepseek-r1:8b,CTX32_02,long_context,truncated_before_final,truncated,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
deepseek-r1:8b,RSN_01,reasoning,absolute_timeout,completed,,0.0,True,True,0.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
deepseek-r1:8b,RSN_07,reasoning,absolute_timeout,absolute_timeout,,,False,False,,recovery_not_scoreable,original_result_retained
qwen3.5:4b,CODE_08,code,truncated_before_final,completed,,20.0,True,True,20.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,CORE_LOGIC_04,core,truncated_before_final,completed,,15.0,True,True,15.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,OCR_04,ocr,truncated_before_final,completed,,17.160494,True,True,17.160494,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,OCR_05,ocr,truncated_before_final,completed,,31.176471,True,True,31.176471,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,OCR_06,ocr,truncated_before_final,completed,,35.441696,True,True,35.441696,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,OCR_07,ocr,truncated_before_final,completed,,60.0,True,True,60.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,OCR_10,ocr,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,RSN_04,reasoning,truncated_before_final,truncated_before_final,,,False,False,,recovery_not_scoreable,original_result_retained
qwen3.5:4b,RSN_07,reasoning,truncated_before_final,truncated_before_final,,,False,False,,recovery_not_scoreable,original_result_retained
qwen3.5:4b,TRANS_01,translation,truncated_before_final,completed,,80.0,True,True,80.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,TRANS_03,translation,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,TRANS_04,translation,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,VIS_02,vision,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,VIS_03,vision,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,VIS_05,vision,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:4b,VIS_08,vision,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,CODE_07,code,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,CORE_LOGIC_04,core,truncated_before_final,completed,,15.0,True,True,15.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,OCR_03,ocr,truncated_before_final,completed,,60.0,True,True,60.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,OCR_10,ocr,truncated_before_final,completed,,60.0,True,True,60.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,RSN_07,reasoning,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,TRANS_03,translation,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,TRANS_04,translation,truncated_before_final,completed,,80.0,True,True,80.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,TRANS_05,translation,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
qwen3.5:9b,VIS_04,vision,truncated_before_final,completed,,0.0,True,True,0.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
olmo-3:7b-think,CODE_08,code,truncated_before_final,completed,,100.0,True,True,100.0,scoreable_recovery_replaces_unscored_original,recovered_under_relaxed_budget
olmo-3:7b-think,CORE_LOGIC_04,core,truncated_before_final,truncated_before_final,,,False,False,,recovery_not_scoreable,original_result_retained
