exact_name,tag,digest,disk_size_bytes,disk_size_gib,parameter_size,quantization,family,architecture,context_length,capabilities,template_present,system_prompt_present,modelfile_message_present,local_or_cloud,thinking_support,tools_support,vision_support,embedding_support,multimodal_support,apparent_specialist_role,currently_installed,metadata_confidence,metadata_source,metadata_error,modelfile_sha256,template_sha256,metadata_file,local_testability,testability_basis
deepscaler:1.5b,1.5b,0031bcf7459f9405e9ae68b522c3fb791ad64814eff25dbec007435d837977e6,3560419491,3.316,1.8B,F16,qwen2,qwen2,131072,completion;thinking;tools,True,False,False,local,True,True,False,False,False,reasoning_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,f6c3038b4f035e8a68b1bb41cfea5e64e0d5f2a0036432ac6da18506c463c170,b6835114b7303ddd78919a82e4d9f7d8c26ed0d7dfc36beeb12d524f6144eab1,inventory/model_metadata_raw/6508427f35f9ac6f2db2.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
deepseek-ocr:latest,latest,0e7b018b8a22373167ee79c9a852821235488cbd2a2a5a93495558627423278c,6687240356,6.228,3.3B,F16,deepseekocr,deepseekocr,8192,completion;vision,True,False,False,local,False,False,True,False,True,ocr,True,HIGH_API_SHOW,/api/tags + /api/show,,20b0813173876c7e19db052dc8cf9b74bc0a0fe8eb9abd5c81d0a6d36c2da1df,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/46e1efa14c84171949a1.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
deepseek-r1:8b,8b,6995872bfe4c521a67b32da386cd21d5c6e819b6e0d62f79f64ec83be99f5763,5225376047,4.867,8.2B,Q4_K_M,qwen3,qwen3,131072,completion;thinking;tools,True,False,False,local,True,True,False,False,False,reasoning_name_hint,True,HIGH_API_SHOW,/api/tags + /api/show,,3cd280f952fcd084ad66a8280d26837a1e750e7cfaa5c9b445bc98f88ea854cc,53671bac29bcb3e1f95f51b8c77d85a6011b66dc38bd23dce64eef04384a976b,inventory/model_metadata_raw/2f3f078f4c9784e80eea.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
devstral-2:123b-cloud,123b-cloud,d37aca5b6a2738b66050b28cc95850a9c2073579415e1151a0cdfc3ec1c723af,388,0.0,123000000000,fp8,mistral3,mistral3,,,False,False,False,cloud,False,False,False,False,False,general_or_unknown,False,MEDIUM_TAGS_ONLY,/api/tags,HTTPError: HTTP Error 410: Gone,,,inventory/model_metadata_raw/4c98e227e530de2b8c97.json,CLOUD_ONLY,Ollama entry is cloud-backed; local model files are not present.
functiongemma:270m,270m,7c19b650567acfb1bee50d12bb286370e8a54d8877f6a0ecfd01f8c8fdc223bb,300807157,0.28,268.10M,Q8_0,gemma3,gemma3,32768,completion;tools,True,False,False,local,False,True,False,False,False,tools,True,HIGH_API_SHOW,/api/tags + /api/show,,1d9bb011425ab19f2a4fb063a2638325129b4f7175d7364321c9f541ab2d264e,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/9be352572fced50bf829.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
gemma3n:e4b,e4b,15cb39fd9394fd2549f6df9081cfc84dd134ecf2c9c5be911e5629920489ac32,7547589116,7.029,6.9B,Q4_K_M,gemma3n,gemma3n,,,False,False,False,local,False,False,False,False,False,general_or_unknown,True,MEDIUM_TAGS_ONLY,/api/tags,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,inventory/model_metadata_raw/3a924baceb7b78098bd5.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
gemma4:e4b,e4b,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,9608350718,8.948,8.0B,Q4_K_M,gemma4,gemma4,131072,audio;completion;thinking;tools;vision,True,False,False,local,True,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,55aaf04e3e45ac468cb1025aa44a39394d63b28e1a833e5615849cfac3205d09,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/4c3ca7ee04a873e73cec.json,TESTABLE_BUT_RESOURCE_HEAVY,Model file is large relative to available RAM/VRAM; historical evidence should guide probing.
glm-ocr:latest,latest,6effedd0dc8aec66ad86c94b8099395376e212f22c87a9d7147c422f7e447be4,2219299168,2.067,1.1B,F16,glmocr,glmocr,131072,completion;tools;vision,True,False,False,local,False,True,True,False,True,ocr,True,HIGH_API_SHOW,/api/tags + /api/show,,dca6ac3908e316259ce23278a419a3282ca7de25c3c1d878d6988d08a0e051a0,b507b9c2f6ca642bffcd06665ea7c91f235fd32daeefdf875a0f938db05fb315,inventory/model_metadata_raw/e48728956240475885ee.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
gpt-oss:120b-cloud,120b-cloud,569662207105c69bb0eca2f79a3fdf8691ad6301def477a5ec66f8e8bae237e3,384,0.0,116829156672,MXFP4,gptoss,gptoss,131072,completion;thinking;tools,False,False,False,cloud,True,True,False,False,False,general_or_unknown,False,HIGH_API_SHOW,/api/tags + /api/show,,,,inventory/model_metadata_raw/8744120547e071325093.json,CLOUD_ONLY,Ollama entry is cloud-backed; local model files are not present.
granite4.1-guardian:8b,8b,f82c0882cec110279601307cdd632d868e29f16eaa59947bef51096e5f740492,6879320213,6.407,8.4B,Q6_K,granite,granite,131072,completion;thinking;tools,True,False,False,local,True,True,False,False,False,safety,True,HIGH_API_SHOW,/api/tags + /api/show,,e65bb67903b1bed32d5a9c4363d195e5180ebdcf82b5074a90d1d5381f188537,c1724631173922a8a2cb88eda13d810224955a2edc7fa238413f9a0b4cac60eb,inventory/model_metadata_raw/3f388a574e9a45af7158.json,TESTABLE_WITH_CPU_OFFLOAD,Model exceeds conservative VRAM fit but is small relative to system RAM.
granite4.1:8b,8b,444af1c4b2fedd6b54041aca558e7300b0b3d5c0468c44619126240323ba2852,5347933017,4.981,8.8B,Q4_K_M,granite,granite,131072,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,1dfa8f89dae6fe6caf8cfc7a653797ed82d5d897c988890130d9087d663d1d6b,89a0ab46e638b17149f5a596060e815cb019117e9c7f745aa8861a02d63d66ef,inventory/model_metadata_raw/2f099f6147077628b3e9.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
granite4:7b-a1b-h,7b-a1b-h,566b725534ea0e9824f844abe6a78e1ab6f7357f1efb549be94908cb681513bb,4230995221,3.94,6.9B,Q4_K_M,granitehybrid,granitehybrid,1048576,completion;tools,True,False,False,local,False,True,False,False,False,general_or_unknown,True,HIGH_API_SHOW,/api/tags + /api/show,,f19f92229a1e6a83cfc9233b27fb3aee465f6be4d68d66dbdbbc436869db19b9,0f6ec9740c765c3fb0dc38fe25f4d283c3bc1ede32b76f81c3a971daef20f76c,inventory/model_metadata_raw/ae376c67452b4d09f6df.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,Q4_K_M,b4e09c173a61e28b963fc043aa86715045a50587a17a735529132fde8f979aa1,3261859180,3.038,3.4B,Q4_K_M,granite,granite,131072,completion;tools;vision,True,False,False,local,False,True,True,False,True,vision,True,HIGH_API_SHOW,/api/tags + /api/show,,1129112770865314dfd6458f8d443f60511669d67422721fde75707cd52aa8e1,7047d55e44c123cb57d9939fce61a7592dc286c1f3c8b64186219cf795ffa185,inventory/model_metadata_raw/b43bd6c1af49eed71f9c.json,TESTABLE_EXPECTED,Model file size fits a conservative fraction of reported VRAM/RAM.
