scope,model,track,category,count,layer
local_practical,deepscaler:1.5b,code,truncated,1,model_or_runtime
local_practical,deepscaler:1.5b,performance,truncated,2,model_or_runtime
local_practical,deepseek-r1:8b,code,truncated,1,model_or_runtime
local_practical,deepseek-r1:8b,core,stream_interrupted_after_output,7,model_or_runtime
local_practical,deepseek-r1:8b,core,truncated,7,model_or_runtime
local_practical,deepseek-r1:8b,long_context,truncated,1,model_or_runtime
local_practical,deepseek-r1:8b,performance,truncated,1,model_or_runtime
local_practical,deepseek-r1:8b,reasoning,absolute_timeout,1,model_or_runtime
local_practical,glm-ocr:latest,ocr,truncated,10,model_or_runtime
local_practical,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,performance,truncated,2,model_or_runtime
local_practical,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,performance,truncated,2,model_or_runtime
local_practical,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,code,truncated,2,model_or_runtime
local_practical,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,code,truncated,1,model_or_runtime
local_practical,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,core,stream_interrupted_after_output,5,model_or_runtime
local_practical,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,core,truncated,9,model_or_runtime
local_practical,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,long_context,truncated,1,model_or_runtime
local_practical,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,performance,truncated,2,model_or_runtime
local_practical,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,reasoning,absolute_timeout,2,model_or_runtime
local_practical,lfm2.5:8b,performance,truncated,2,model_or_runtime
local_practical,medgemma1.5:4b,ocr,truncated,1,model_or_runtime
local_practical,minicpm-v4.6:latest,code,truncated,2,model_or_runtime
local_practical,nemotron-3-nano:4b,tools,tool_not_found,1,model_or_runtime
local_practical,olmo-3:7b-think,core,truncated_before_final,1,model_or_runtime
local_practical,olmo-3:7b-think,long_context,truncated_before_final,1,model_or_runtime
local_practical,olmo-3:7b-think,performance,truncated_before_final,2,model_or_runtime
local_practical,olmo-3:7b-think,reasoning,absolute_timeout,1,model_or_runtime
local_practical,olmo-3:7b-think,translation,truncated,1,model_or_runtime
local_practical,openbmb/minicpm5:Q4_K_M,code,truncated,1,model_or_runtime
local_practical,openbmb/minicpm5:Q4_K_M,core,truncated,6,model_or_runtime
local_practical,openbmb/minicpm5:Q4_K_M,reasoning,truncated,2,model_or_runtime
local_practical,phi4-mini-reasoning:latest,code,truncated,3,model_or_runtime
local_practical,phi4-mini-reasoning:latest,core,truncated,2,model_or_runtime
local_practical,phi4-mini-reasoning:latest,long_context,truncated,1,model_or_runtime
local_practical,phi4-mini-reasoning:latest,performance,truncated,2,model_or_runtime
local_practical,phi4-mini-reasoning:latest,translation,truncated,1,model_or_runtime
local_practical,qwen3-vl:8b,performance,truncated,1,model_or_runtime
local_practical,qwen3-vl:8b,reasoning,absolute_timeout,1,model_or_runtime
local_practical,qwen3.5:4b,reasoning,truncated_before_final,2,model_or_runtime
local_practical,smollm2:1.7b,tools,tool_loop_limit,2,model_or_runtime
local_practical,starcoder2:7b,code,truncated,1,model_or_runtime
