model,digest,parameter_size,quantization,official_model,official_source_url,match_confidence,publisher_claim_summary,comparison_rule
deepscaler:1.5b,0031bcf7459f9405e9ae68b522c3fb791ad64814eff25dbec007435d837977e6,1.8B,F16,agentica-org/DeepScaleR-1.5B-Preview,https://huggingface.co/agentica-org/DeepScaleR-1.5B-Preview,FAMILY_MATCH,1.5B reasoning model; publisher reports math/reasoning benchmark results.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
deepseek-ocr:latest,0e7b018b8a22373167ee79c9a852821235488cbd2a2a5a93495558627423278c,3.3B,F16,deepseek-ai/DeepSeek-OCR,https://huggingface.co/deepseek-ai/DeepSeek-OCR,EXACT_FAMILY_QUANTIZED_RUNTIME,Document OCR model with publisher-reported OmniDocBench results.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
deepseek-r1:8b,6995872bfe4c521a67b32da386cd21d5c6e819b6e0d62f79f64ec83be99f5763,8.2B,Q4_K_M,DeepSeek-R1 family,https://huggingface.co/deepseek-ai/DeepSeek-R1,FAMILY_ONLY_LOCAL_TAG_AMBIGUOUS,"Reasoning family with published math, coding, and knowledge evaluations.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
functiongemma:270m,7c19b650567acfb1bee50d12bb286370e8a54d8877f6a0ecfd01f8c8fdc223bb,268.10M,Q8_0,google/functiongemma-270m-it,https://ai.google.dev/gemma/docs/functiongemma/model_card,EXACT_FAMILY_QUANTIZED_RUNTIME,"270M specialist intended for function calling, not general conversation.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
gemma3n:e4b,15cb39fd9394fd2549f6df9081cfc84dd134ecf2c9c5be911e5629920489ac32,6.9B,Q4_K_M,google/gemma-3n-E4B-it,https://huggingface.co/google/gemma-3n-E4B-it,EXACT_FAMILY_QUANTIZED_RUNTIME,Mobile-oriented multimodal E4B model; official card distinguishes effective and total parameters.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
gemma4:e4b,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,8.0B,Q4_K_M,Gemma 4 E4B,https://ai.google.dev/gemma/docs/core/model_card_4,EXACT_FAMILY_QUANTIZED_RUNTIME,"4.5B effective / 8B total, 128K, multimodal; official card publishes MMLU-Pro, AIME, code and vision results.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
glm-ocr:latest,6effedd0dc8aec66ad86c94b8099395376e212f22c87a9d7147c422f7e447be4,1.1B,F16,zai-org/GLM-OCR,https://huggingface.co/zai-org/GLM-OCR,EXACT_FAMILY_RUNTIME_VARIANT,1B OCR model; publisher reports OmniDocBench 94.62 and SDK throughput.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
granite4.1-guardian:8b,f82c0882cec110279601307cdd632d868e29f16eaa59947bef51096e5f740492,8.4B,Q6_K,ibm-granite/granite-guardian-4.1-8b,https://huggingface.co/ibm-granite/granite-guardian-4.1-8b,EXACT_FAMILY_QUANTIZED_RUNTIME,8B safety/risk-detection specialist with official risk taxonomy and evaluation guidance.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
granite4.1:8b,444af1c4b2fedd6b54041aca558e7300b0b3d5c0468c44619126240323ba2852,8.8B,Q4_K_M,ibm-granite/granite-4.1-8b,https://huggingface.co/ibm-granite/granite-4.1-8b,EXACT_FAMILY_QUANTIZED_RUNTIME,"Official card publishes MMLU, MMLU-Pro, HumanEval and BFCL results.",CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
granite4:7b-a1b-h,566b725534ea0e9824f844abe6a78e1ab6f7357f1efb549be94908cb681513bb,6.9B,Q4_K_M,IBM Granite 4 7B-A1B family,https://huggingface.co/ibm-granite,FAMILY_MATCH,Hybrid/MoE Granite family; exact Ollama artifact mapping requires release metadata.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,b4e09c173a61e28b963fc043aa86715045a50587a17a735529132fde8f979aa1,3.4B,Q4_K_M,ibm-granite/granite-vision-4.1-4b,https://huggingface.co/ibm-granite/granite-vision-4.1-4b,EXACT_QUANTIZED_DERIVATIVE,4B document/vision specialist; official card provides document-understanding evaluations.,CONTEXT_ONLY_NOT_NUMERICALLY_COMPARABLE_TO_RC1
