model,params,size_gib,quant,context,general_candidate,reasoning_capability,code_capability,tools_capability,vision_capability,ocr_candidate,embedding_capability,safety_specialist,medical_specialist,translation_specialist,cloud,edge_candidate,metadata_notes
deepscaler:1.5b,1.8B,3.316,F16,131072,,metadata_or_name_hint,,explicit,,,,,,,False,,reasoning_name_hint
deepseek-ocr:latest,3.3B,6.228,F16,8192,,,,,explicit,name_hint,,,,,False,,ocr
deepseek-r1:8b,8.2B,4.867,Q4_K_M,131072,,metadata_or_name_hint,,explicit,,,,,,,False,,reasoning_name_hint
devstral-2:123b-cloud,123000000000,0.0,fp8,,metadata_not_specialist,,,,,,,,,,True,,general_or_unknown
functiongemma:270m,268.10M,0.28,Q8_0,32768,,,,explicit,,,,,,,False,small_file_only,tools
gemma3n:e4b,6.9B,7.029,Q4_K_M,,metadata_not_specialist,,,,,,,,,,False,,general_or_unknown
gemma4:e4b,8.0B,8.948,Q4_K_M,131072,,thinking,,explicit,explicit,,,,,,False,,vision
glm-ocr:latest,1.1B,2.067,F16,131072,,,,explicit,explicit,name_hint,,,,,False,small_file_only,ocr
gpt-oss:120b-cloud,116829156672,0.0,MXFP4,131072,metadata_not_specialist,thinking,,explicit,,,,,,,True,,general_or_unknown
granite4.1-guardian:8b,8.4B,6.407,Q6_K,131072,,thinking,,explicit,,,,name_hint,,,False,,safety
granite4.1:8b,8.8B,4.981,Q4_K_M,131072,metadata_not_specialist,,,explicit,,,,,,,False,,general_or_unknown
granite4:7b-a1b-h,6.9B,3.94,Q4_K_M,1048576,metadata_not_specialist,,,explicit,,,,,,,False,,general_or_unknown
hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,3.4B,3.038,Q4_K_M,131072,,,,explicit,explicit,,,,,,False,,vision
hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,8.19B,4.682,Q4_K_M,32768,metadata_not_specialist,thinking,,explicit,,,,,,,False,,general_or_unknown
hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,7.59B,4.283,Q4_K_M,262144,metadata_not_specialist,thinking,,explicit,,,,,,,False,,general_or_unknown
hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,3.08B,1.807,Q4_K_M,65536,metadata_not_specialist,thinking,,explicit,,,,,,,False,small_file_only,general_or_unknown
huggingface.co/llmware/phi-4-mini-gguf:latest,3.84B,2.321,Q4_K_M,131072,metadata_not_specialist,,,explicit,,,,,,,False,small_file_only,general_or_unknown
huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,8.19B,4.682,Q4_K_M,131072,,metadata_or_name_hint,,explicit,,,,,,,False,,reasoning_name_hint
kaelri/hy-mt2:7b-q4_K_M,7.5B,4.307,Q4_K_M,262144,,,,,,,,,,name_hint,False,,translation_name_hint
lfm2.5:8b,8.5B,4.802,Q4_K_M,128000,metadata_not_specialist,thinking,,explicit,,,,,,,False,,general_or_unknown
llama3.2:3b,3.2B,1.881,Q4_K_M,131072,metadata_not_specialist,,,explicit,,,,,,,False,small_file_only,general_or_unknown
medgemma1.5:4b,4.3B,3.11,Q4_K_M,131072,,,,,explicit,,,,,,False,,vision
minicpm-v4.6:latest,752.16M,1.525,Q4_K_M,262144,,thinking,,explicit,explicit,,,,,,False,small_file_only,vision
minimax-m3:cloud,0,0.0,,524288,,thinking,,explicit,explicit,,,,,,True,,vision
ministral-3:8b,8.9B,5.609,Q4_K_M,262144,,,,explicit,explicit,,,,,,False,,vision
mistral:7b,7.2B,4.073,Q4_K_M,32768,metadata_not_specialist,,,explicit,,,,,,,False,,general_or_unknown
