model,digest,params,disk_size,quant,local_cloud,capabilities,expected_niche,historical_evidence_available,local_testability,potential_overlap_group
deepscaler:1.5b,0031bcf7459f9405e9ae68b522c3fb791ad64814eff25dbec007435d837977e6,1.8B,3560419491,F16,local,completion;thinking;tools,reasoning_name_hint,YES,TESTABLE_EXPECTED,reasoning_name_hint
deepseek-ocr:latest,0e7b018b8a22373167ee79c9a852821235488cbd2a2a5a93495558627423278c,3.3B,6687240356,F16,local,completion;vision,ocr,YES,TESTABLE_WITH_CPU_OFFLOAD,ocr
deepseek-r1:8b,6995872bfe4c521a67b32da386cd21d5c6e819b6e0d62f79f64ec83be99f5763,8.2B,5225376047,Q4_K_M,local,completion;thinking;tools,reasoning_name_hint,YES,TESTABLE_EXPECTED,reasoning_name_hint
devstral-2:123b-cloud,d37aca5b6a2738b66050b28cc95850a9c2073579415e1151a0cdfc3ec1c723af,123000000000,388,fp8,cloud,,general_or_unknown,YES,CLOUD_ONLY,general_or_unknown
functiongemma:270m,7c19b650567acfb1bee50d12bb286370e8a54d8877f6a0ecfd01f8c8fdc223bb,268.10M,300807157,Q8_0,local,completion;tools,tools,YES,TESTABLE_EXPECTED,tools
gemma3n:e4b,15cb39fd9394fd2549f6df9081cfc84dd134ecf2c9c5be911e5629920489ac32,6.9B,7547589116,Q4_K_M,local,,general_or_unknown,YES,TESTABLE_WITH_CPU_OFFLOAD,general_or_unknown
gemma4:e4b,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,8.0B,9608350718,Q4_K_M,local,audio;completion;thinking;tools;vision,vision,YES,TESTABLE_BUT_RESOURCE_HEAVY,vision
glm-ocr:latest,6effedd0dc8aec66ad86c94b8099395376e212f22c87a9d7147c422f7e447be4,1.1B,2219299168,F16,local,completion;tools;vision,ocr,YES,TESTABLE_EXPECTED,ocr
gpt-oss:120b-cloud,569662207105c69bb0eca2f79a3fdf8691ad6301def477a5ec66f8e8bae237e3,116829156672,384,MXFP4,cloud,completion;thinking;tools,general_or_unknown,YES,CLOUD_ONLY,general_or_unknown
granite4.1-guardian:8b,f82c0882cec110279601307cdd632d868e29f16eaa59947bef51096e5f740492,8.4B,6879320213,Q6_K,local,completion;thinking;tools,safety,YES,TESTABLE_WITH_CPU_OFFLOAD,safety
granite4.1:8b,444af1c4b2fedd6b54041aca558e7300b0b3d5c0468c44619126240323ba2852,8.8B,5347933017,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
granite4:7b-a1b-h,566b725534ea0e9824f844abe6a78e1ab6f7357f1efb549be94908cb681513bb,6.9B,4230995221,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,b4e09c173a61e28b963fc043aa86715045a50587a17a735529132fde8f979aa1,3.4B,3261859180,Q4_K_M,local,completion;tools;vision,vision,YES,TESTABLE_EXPECTED,vision
hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,f1ab988bb6ceec875a24553886116b82b15aa804e9cb6a374a2e5e1133dd0b7d,8.19B,5027786125,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,7a8fccc56374707c68bd2f899aeaf06b7977a71a5ea1f34b81d4c0afecd77552,7.59B,4598345880,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,49c1cb13df5f6647f0a1765a23d420f08a60bf844b1730054c59b271ea99804b,3.08B,1940419998,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
huggingface.co/llmware/phi-4-mini-gguf:latest,812893abf9e42b8b19361eff7b2f4355ccdef03bfae6283c316ca0fb286e14d0,3.84B,2491875818,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,1a41a532bd9af10aa092d04bcd0ed7a20c9f4f39bf592d9cea55f46efae6b2f9,8.19B,5027783691,Q4_K_M,local,completion;thinking;tools,reasoning_name_hint,YES,TESTABLE_EXPECTED,reasoning_name_hint
kaelri/hy-mt2:7b-q4_K_M,1981e6ac165f7a519ae9fd6571b78284dae89d6d8fa7bd11ab20c1c7a7f89144,7.5B,4624667187,Q4_K_M,local,completion,translation_name_hint,YES,TESTABLE_EXPECTED,translation_name_hint
lfm2.5:8b,9cf756159fc2f3b9128c6a3f544ec90c5e9b8afdbb4179a57b8aea9de589cfb2,8.5B,5156075525,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
llama3.2:3b,a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72,3.2B,2019393189,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
medgemma1.5:4b,433252621ab154668b5d8be6aff6c1b771bacba045e46e6193da8d6ad1630f2c,4.3B,3338940988,Q4_K_M,local,completion;vision,vision,YES,TESTABLE_EXPECTED,vision
minicpm-v4.6:latest,e95583acac773b45d95469c069db44808c87295f924183f4c942d52616b2d132,752.16M,1637848812,Q4_K_M,local,completion;thinking;tools;vision,vision,YES,TESTABLE_EXPECTED,vision
minimax-m3:cloud,d03a959f45c04ab183e245922ecb46ebccfb9d5e55bdee5e9055271ee70195e3,0,362,,cloud,completion;thinking;tools;vision,vision,YES,CLOUD_ONLY,vision
ministral-3:8b,1922accd5827ebe6829e536369195db25eaf664528dc66206d646ea3bb386b71,8.9B,6022236616,Q4_K_M,local,completion;tools;vision,vision,YES,TESTABLE_WITH_CPU_OFFLOAD,vision
mistral:7b,6577803aa9a036369e481d648a2baebb381ebc6e897f2bb9a766a2aa7bfbc1cf,7.2B,4372824384,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
nemotron-3-nano:4b,6cc467f054393a55e98a74098abde0c762ffb6d1d8cd64becf30458f38886197,4.0B,2837597147,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
olmo-3:7b-instruct,ea72df8c85d75c6783ab0d00278803c53a634fc9d0fe38d3fd4ab6f35adbdbb2,7.3B,4472011552,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
olmo-3:7b-think,b8d4c92ac9c103f858f4f09a418b62de8ca1abf1b20b4020006346535634dd35,7.3B,4472011564,Q4_K_M,local,completion;thinking,reasoning_name_hint,YES,TESTABLE_EXPECTED,reasoning_name_hint
openbmb/minicpm5:Q4_K_M,08239e8f70e09fc079ff3b5c4f011fd846d452ae9ba4e4b4c40e526bd4950ded,1.1B,688066595,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
ornith:9b,a75697c145891910e312c95e4a9fc1ccb8653e5ef543b23b0403a4665b82fd91,9.0B,5629110568,Q4_K_M,local,completion;thinking;tools,general_or_unknown,YES,TESTABLE_WITH_CPU_OFFLOAD,general_or_unknown
phi4-mini-reasoning:latest,3ca8c2865ce91b6be853a25e56edfefa4f473db55a391611989b753ecf0fa419,3.8B,3152479391,Q4_K_M,local,completion;tools,reasoning_name_hint,YES,TESTABLE_EXPECTED,reasoning_name_hint
phi4-mini:latest,78fad5d182a7c33065e153a5f8ba210754207ba9d91973f57dffa7f487363753,3.8B,2491876774,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
qwen3-coder-next:cloud,aa626c11ae8dc60853e1dd7307035885eebd96de4e48ef0c76594e25fd8c0d67,80B,382,FP8,cloud,,code_name_hint,YES,CLOUD_ONLY,code_name_hint
qwen3-coder:480b-cloud,e30e45586389a1eb8d7616d16c7b692c89b903b58456ec5f20219cd4c9737f7e,480B,382,BF16,cloud,,code_name_hint,YES,CLOUD_ONLY,code_name_hint
qwen3-embedding:latest,64b933495768fbd3b87c20583d379728a07471e0c66733a9df87cd1901b3c44b,7.6B,4676805193,Q4_K_M,local,embedding;tools,embedding,YES,TESTABLE_EXPECTED,embedding
qwen3-vl:8b,901cae73216286ea8c5aba8b46d307ff7188f737285ec500c795a12f05225d28,8.8B,6140415879,Q4_K_M,local,completion;thinking;tools;vision,vision,YES,TESTABLE_WITH_CPU_OFFLOAD,vision
qwen3.5:4b,2a654d98e6fba55d452b7043684e9b57a947e393bbffa62485a7aac05ee4eefd,4.7B,3389983735,Q4_K_M,local,completion;thinking;tools;vision,vision,YES,TESTABLE_EXPECTED,vision
qwen3.5:9b,6488c96fa5faab64bb65cbd30d4289e20e6130ef535a93ef9a49f42eda893ea7,9.7B,6594474711,Q4_K_M,local,completion;thinking;tools;vision,vision,YES,TESTABLE_WITH_CPU_OFFLOAD,vision
rnj-1:latest,d20e29ab8d0f11423b1e8da33764c8bdafc1d0abbb9971f68edd0f6d4176435f,8.3B,5114440677,Q4_K_M,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
shieldgemma:2b,5aad5044d142232b67c4d531aecc022165f06ba40235a60b3a77824c66dfc360,2.6B,1708595627,Q4_K_M,local,completion,safety,YES,TESTABLE_EXPECTED,safety
smollm2:1.7b,cef4a1e09247f018ca0c482ad4c2ce1474aba5e87f245dacf97f07948d05d8b4,1.7B,1820428533,Q8_0,local,completion;tools,general_or_unknown,YES,TESTABLE_EXPECTED,general_or_unknown
starcoder2:7b,1550ab21b10d3b3a53bcb13e628f3de773d9dbabe814d2315e5c0d8b9f3ef7e6,7B,4042813088,Q4_0,local,completion;insert,code_name_hint,YES,TESTABLE_EXPECTED,code_name_hint
translategemma:latest,c49d986b0764f5881c476eb21435bb62b7abc62347aab3d4a6071e811be510a1,4.3B,3298875707,Q4_K_M,local,completion;vision,vision,YES,TESTABLE_EXPECTED,vision
