scope,model,track,category,count,layer
cloud,devstral-2:123b-cloud,availability,unavailable,1,provider_availability
cloud,gpt-oss:120b-cloud,performance,truncated_before_final,2,model_or_runtime
cloud,minimax-m3:cloud,performance,truncated_before_final,2,model_or_runtime
cloud,minimax-m3:cloud,translation,truncated_before_final,1,model_or_runtime
cloud,qwen3-coder-next:cloud,availability,unavailable,1,provider_availability
cloud,qwen3-coder:480b-cloud,availability,unavailable,1,provider_availability
local,deepscaler:1.5b,code,truncated,1,model_or_runtime
local,deepscaler:1.5b,performance,truncated,2,model_or_runtime
local,deepseek-r1:8b,code,truncated_before_final,1,model_or_runtime
local,deepseek-r1:8b,core,runtime_anomaly,7,runtime
local,deepseek-r1:8b,core,stream_interrupted_after_output,7,model_or_runtime
local,deepseek-r1:8b,core,truncated,7,model_or_runtime
local,deepseek-r1:8b,core,truncated_before_final,2,model_or_runtime
local,deepseek-r1:8b,long_context,truncated_before_final,1,model_or_runtime
local,deepseek-r1:8b,performance,truncated,1,model_or_runtime
local,deepseek-r1:8b,reasoning,absolute_timeout,2,model_or_runtime
local,deepseek-r1:8b,reasoning,runtime_anomaly,2,runtime
local,glm-ocr:latest,ocr,truncated,10,model_or_runtime
local,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,performance,truncated,2,model_or_runtime
local,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,performance,truncated,2,model_or_runtime
local,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,code,truncated,2,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,code,truncated,1,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,core,runtime_anomaly,5,runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,core,stream_interrupted_after_output,5,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,core,truncated,9,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,long_context,truncated,1,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,performance,truncated,2,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,reasoning,absolute_timeout,2,model_or_runtime
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,reasoning,runtime_anomaly,2,runtime
local,lfm2.5:8b,performance,truncated,2,model_or_runtime
local,medgemma1.5:4b,ocr,truncated,1,model_or_runtime
local,minicpm-v4.6:latest,code,truncated,2,model_or_runtime
local,nemotron-3-nano:4b,tools,tool_not_found,1,model_or_runtime
local,olmo-3:7b-think,code,truncated_before_final,1,model_or_runtime
local,olmo-3:7b-think,core,truncated_before_final,1,model_or_runtime
local,olmo-3:7b-think,long_context,truncated_before_final,1,model_or_runtime
local,olmo-3:7b-think,performance,truncated_before_final,2,model_or_runtime
local,olmo-3:7b-think,reasoning,absolute_timeout,1,model_or_runtime
local,olmo-3:7b-think,reasoning,runtime_anomaly,1,runtime
local,olmo-3:7b-think,translation,truncated,1,model_or_runtime
local,olmo-3:7b-think,translation,truncated_before_final,2,model_or_runtime
local,openbmb/minicpm5:Q4_K_M,code,truncated,1,model_or_runtime
local,openbmb/minicpm5:Q4_K_M,core,truncated,6,model_or_runtime
local,openbmb/minicpm5:Q4_K_M,reasoning,truncated,2,model_or_runtime
local,openbmb/minicpm5:Q4_K_M,tools,tool_loop_limit,2,model_or_runtime
local,phi4-mini-reasoning:latest,code,truncated,3,model_or_runtime
local,phi4-mini-reasoning:latest,core,truncated,2,model_or_runtime
local,phi4-mini-reasoning:latest,long_context,truncated,1,model_or_runtime
local,phi4-mini-reasoning:latest,performance,truncated,2,model_or_runtime
local,phi4-mini-reasoning:latest,translation,truncated,1,model_or_runtime
local,qwen3-vl:8b,performance,truncated,1,model_or_runtime
local,qwen3-vl:8b,reasoning,absolute_timeout,2,model_or_runtime
local,qwen3-vl:8b,reasoning,runtime_anomaly,2,runtime
local,qwen3-vl:8b,translation,truncated_before_final,2,model_or_runtime
local,qwen3.5:4b,code,truncated_before_final,1,model_or_runtime
local,qwen3.5:4b,core,truncated_before_final,1,model_or_runtime
local,qwen3.5:4b,ocr,truncated_before_final,5,model_or_runtime
local,qwen3.5:4b,reasoning,truncated_before_final,2,model_or_runtime
local,qwen3.5:4b,translation,truncated_before_final,3,model_or_runtime
local,qwen3.5:4b,vision,truncated_before_final,4,model_or_runtime
local,qwen3.5:9b,code,truncated_before_final,1,model_or_runtime
local,qwen3.5:9b,core,truncated_before_final,1,model_or_runtime
local,qwen3.5:9b,ocr,truncated_before_final,2,model_or_runtime
local,qwen3.5:9b,reasoning,truncated_before_final,1,model_or_runtime
local,qwen3.5:9b,translation,truncated_before_final,3,model_or_runtime
local,qwen3.5:9b,vision,truncated_before_final,1,model_or_runtime
local,smollm2:1.7b,tools,tool_loop_limit,5,model_or_runtime
local,starcoder2:7b,code,truncated,1,model_or_runtime
