scope,track,model,records,scored_records,coverage,completion_rate,mean_score_0_to_1,completion_adjusted_mean_0_to_1,recovery_attempted,recovery_selected,runtime_anomalies,truncation_related
local_practical,code,deepscaler:1.5b,8,8,1.0,1.0,0.665,0.665,0,0,0,1
local_practical,core,deepscaler:1.5b,24,24,1.0,1.0,0.802083,0.802083,0,0,0,0
local_practical,long_context,deepscaler:1.5b,4,4,1.0,1.0,1.0,1.0,0,0,0,0
local_practical,performance,deepscaler:1.5b,2,0,0.0,0.0,,,0,0,0,2
local_practical,reasoning,deepscaler:1.5b,10,10,1.0,1.0,0.8,0.8,0,0,0,0
local_practical,tools,deepscaler:1.5b,8,8,1.0,1.0,0.47875,0.47875,0,0,0,0
local_practical,translation,deepscaler:1.5b,6,6,1.0,1.0,0.716667,0.716667,0,0,0,0
local_practical,ocr,deepseek-ocr:latest,10,10,1.0,1.0,0.792388,0.792388,0,0,0,0
local_practical,code,deepseek-r1:8b,8,8,1.0,1.0,0.775,0.775,1,1,0,1
local_practical,core,deepseek-r1:8b,24,24,1.0,1.0,0.517708,0.517708,2,2,0,7
local_practical,long_context,deepseek-r1:8b,4,4,1.0,1.0,1.0,1.0,1,1,0,1
local_practical,performance,deepseek-r1:8b,2,0,0.0,0.0,,,0,0,0,1
local_practical,reasoning,deepseek-r1:8b,10,9,0.9,0.9,0.777778,0.7,2,1,0,1
local_practical,tools,deepseek-r1:8b,8,8,1.0,1.0,0.4875,0.4875,0,0,0,0
local_practical,translation,deepseek-r1:8b,6,6,1.0,1.0,0.95,0.95,0,0,0,0
local_practical,tools,functiongemma:270m,8,8,1.0,1.0,0.574792,0.574792,0,0,0,0
local_practical,code,gemma3n:e4b,8,8,1.0,1.0,0.2,0.2,0,0,0,0
local_practical,core,gemma3n:e4b,24,24,1.0,1.0,0.827083,0.827083,0,0,0,0
local_practical,performance,gemma3n:e4b,2,0,0.0,0.0,,,0,0,0,0
local_practical,translation,gemma3n:e4b,6,6,1.0,1.0,0.833333,0.833333,0,0,0,0
local_practical,code,gemma4:e4b,8,8,1.0,1.0,0.2,0.2,0,0,0,0
local_practical,core,gemma4:e4b,24,24,1.0,1.0,0.879167,0.879167,0,0,0,0
