scope,track,model,records,scored_records,coverage,mean_score_0_to_1,runtime_anomalies,truncation_related
cloud,code,minimax-m3:cloud,8,8,1.0,0.75,0,0
cloud,code,gpt-oss:120b-cloud,8,8,1.0,0.25,0,0
cloud,core,gpt-oss:120b-cloud,24,24,1.0,0.652778,0,0
cloud,core,minimax-m3:cloud,24,24,1.0,0.611111,0,0
cloud,long_context,gpt-oss:120b-cloud,4,4,1.0,0.25,0,0
cloud,long_context,minimax-m3:cloud,4,4,1.0,0.25,0,0
cloud,ocr,minimax-m3:cloud,10,10,1.0,0.0,0,0
cloud,reasoning,gpt-oss:120b-cloud,10,10,1.0,0.5,0,0
cloud,reasoning,minimax-m3:cloud,10,10,1.0,0.3,0,0
cloud,tools,minimax-m3:cloud,8,8,1.0,0.75,0,0
cloud,tools,gpt-oss:120b-cloud,8,8,1.0,0.5,0,0
cloud,translation,gpt-oss:120b-cloud,6,6,1.0,0.9,0,0
cloud,translation,minimax-m3:cloud,6,6,1.0,0.85,0,1
cloud,vision,minimax-m3:cloud,8,8,1.0,0.25,0,0
local,code,qwen3-vl:8b,8,8,1.0,0.8625,0,0
local,code,ornith:9b,8,8,1.0,0.7625,0,0
local,code,deepseek-r1:8b,8,8,1.0,0.75,0,1
local,code,olmo-3:7b-think,8,8,1.0,0.75,0,1
local,code,openbmb/minicpm5:Q4_K_M,8,8,1.0,0.6875,0,1
local,code,rnj-1:latest,8,8,1.0,0.675,0,0
local,code,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,8,8,1.0,0.625,0,0
local,code,deepscaler:1.5b,8,8,1.0,0.6125,0,1
local,code,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,8,8,1.0,0.6125,0,1
local,code,llama3.2:3b,8,8,1.0,0.6125,0,0
local,code,granite4:7b-a1b-h,8,8,1.0,0.6,0,0
local,code,ministral-3:8b,8,8,1.0,0.5125,0,0
local,code,nemotron-3-nano:4b,8,8,1.0,0.5,0,0
local,code,smollm2:1.7b,8,8,1.0,0.45,0,0
local,code,granite4.1:8b,8,8,1.0,0.375,0,0
local,code,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,8,8,1.0,0.375,0,0
local,code,lfm2.5:8b,8,8,1.0,0.375,0,0
local,code,phi4-mini-reasoning:latest,8,8,1.0,0.3625,0,3
local,code,mistral:7b,8,8,1.0,0.35,0,0
local,code,qwen3.5:4b,8,8,1.0,0.3,0,1
local,code,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,8,8,1.0,0.25,0,0
local,code,olmo-3:7b-instruct,8,8,1.0,0.25,0,0
local,code,huggingface.co/llmware/phi-4-mini-gguf:latest,8,8,1.0,0.2375,0,0
local,code,qwen3.5:9b,8,8,1.0,0.1375,0,1
local,code,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,8,8,1.0,0.125,0,2
local,code,phi4-mini:latest,8,8,1.0,0.1125,0,0
local,code,minicpm-v4.6:latest,8,8,1.0,0.0875,0,2
local,code,gemma3n:e4b,8,8,1.0,0.0,0,0
local,code,gemma4:e4b,8,8,1.0,0.0,0,0
local,code,starcoder2:7b,8,8,1.0,0.0,0,1
local,core,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,24,24,1.0,0.777778,0,0
local,core,gemma4:e4b,24,24,1.0,0.736111,0,0
local,core,qwen3.5:9b,24,24,1.0,0.694444,0,1
local,core,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,24,24,1.0,0.652778,0,0
local,core,ornith:9b,24,24,1.0,0.627778,0,0
local,core,nemotron-3-nano:4b,24,24,1.0,0.625,0,0
local,core,qwen3.5:4b,24,24,1.0,0.611111,0,1
local,core,granite4.1:8b,24,24,1.0,0.569444,0,0
local,core,olmo-3:7b-think,24,24,1.0,0.569444,0,1
local,core,qwen3-vl:8b,24,24,1.0,0.569444,0,0
local,core,olmo-3:7b-instruct,24,24,1.0,0.527778,0,0
local,core,ministral-3:8b,24,24,1.0,0.486111,0,0
local,core,rnj-1:latest,24,24,1.0,0.402778,0,0
local,core,gemma3n:e4b,24,24,1.0,0.361111,0,0
local,core,granite4:7b-a1b-h,24,24,1.0,0.361111,0,0
local,core,huggingface.co/llmware/phi-4-mini-gguf:latest,24,24,1.0,0.361111,0,0
local,core,mistral:7b,24,24,1.0,0.361111,0,0
local,core,llama3.2:3b,24,24,1.0,0.277778,0,0
local,core,phi4-mini:latest,24,24,1.0,0.277778,0,0
local,core,smollm2:1.7b,24,24,1.0,0.236111,0,0
local,core,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,24,24,1.0,0.194444,0,0
local,core,deepseek-r1:8b,24,24,1.0,0.166667,7,9
local,core,deepscaler:1.5b,24,24,1.0,0.138889,0,0
local,core,openbmb/minicpm5:Q4_K_M,24,24,1.0,0.138889,0,6
local,core,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,24,24,1.0,0.097222,0,0
local,core,minicpm-v4.6:latest,24,24,1.0,0.097222,0,0
local,core,phi4-mini-reasoning:latest,24,24,1.0,0.097222,0,2
local,core,lfm2.5:8b,24,24,1.0,0.072222,0,0
local,core,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,24,24,1.0,0.0,5,9
local,embedding,qwen3-embedding:latest,12,12,1.0,1.0,0,0
local,long_context,gemma4:e4b,4,4,1.0,0.5,0,0
local,long_context,qwen3.5:9b,4,4,1.0,0.5,0,0
local,long_context,deepseek-r1:8b,4,4,1.0,0.25,0,1
local,long_context,granite4.1:8b,4,4,1.0,0.25,0,0
local,long_context,granite4:7b-a1b-h,4,4,1.0,0.25,0,0
local,long_context,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,4,4,1.0,0.25,0,0
local,long_context,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,4,4,1.0,0.25,0,0
local,long_context,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,4,4,1.0,0.25,0,0
local,long_context,huggingface.co/llmware/phi-4-mini-gguf:latest,4,4,1.0,0.25,0,0
local,long_context,llama3.2:3b,4,4,1.0,0.25,0,0
local,long_context,ministral-3:8b,4,4,1.0,0.25,0,0
local,long_context,nemotron-3-nano:4b,4,4,1.0,0.25,0,0
local,long_context,olmo-3:7b-instruct,4,4,1.0,0.25,0,0
local,long_context,olmo-3:7b-think,4,4,1.0,0.25,0,1
local,long_context,ornith:9b,4,4,1.0,0.25,0,0
local,long_context,phi4-mini:latest,4,4,1.0,0.25,0,0
local,long_context,qwen3-vl:8b,4,4,1.0,0.25,0,0
local,long_context,qwen3.5:4b,4,4,1.0,0.25,0,0
local,long_context,rnj-1:latest,4,4,1.0,0.25,0,0
local,long_context,deepscaler:1.5b,4,4,1.0,0.0,0,0
local,long_context,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,4,4,1.0,0.0,0,0
local,long_context,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,4,4,1.0,0.0,0,1
local,long_context,lfm2.5:8b,4,4,1.0,0.0,0,0
local,long_context,minicpm-v4.6:latest,4,4,1.0,0.0,0,0
local,long_context,mistral:7b,4,4,1.0,0.0,0,0
local,long_context,openbmb/minicpm5:Q4_K_M,4,4,1.0,0.0,0,0
local,long_context,phi4-mini-reasoning:latest,4,4,1.0,0.0,0,1
local,long_context,smollm2:1.7b,2,2,1.0,0.0,0,0
local,medical,nemotron-3-nano:4b,6,6,1.0,0.833333,0,0
local,medical,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,6,6,1.0,0.666667,0,0
local,medical,qwen3.5:9b,6,6,1.0,0.666667,0,0
local,medical,qwen3.5:4b,6,6,1.0,0.5,0,0
local,medical,phi4-mini:latest,6,6,1.0,0.166667,0,0
local,medical,medgemma1.5:4b,6,6,1.0,0.0,0,0
local,ocr,deepseek-ocr:latest,10,10,1.0,0.384059,0,0
local,ocr,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,10,10,1.0,0.1,0,0
local,ocr,qwen3-vl:8b,10,10,1.0,0.1,0,0
local,ocr,qwen3.5:4b,10,10,1.0,0.1,0,5
local,ocr,gemma4:e4b,10,10,1.0,0.0,0,0
local,ocr,glm-ocr:latest,10,10,1.0,0.0,0,10
local,ocr,medgemma1.5:4b,10,10,1.0,0.0,0,1
local,ocr,minicpm-v4.6:latest,10,10,1.0,0.0,0,0
local,ocr,ministral-3:8b,10,10,1.0,0.0,0,0
local,ocr,qwen3.5:9b,10,10,1.0,0.0,0,2
local,ocr,translategemma:latest,10,10,1.0,0.0,0,0
local,reasoning,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,10,10,1.0,0.5,0,0
local,reasoning,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,10,10,1.0,0.5,0,0
local,reasoning,lfm2.5:8b,10,10,1.0,0.5,0,0
local,reasoning,deepscaler:1.5b,10,10,1.0,0.453333,0,0
local,reasoning,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,10,10,1.0,0.43,2,0
local,reasoning,olmo-3:7b-think,10,10,1.0,0.43,1,0
local,reasoning,deepseek-r1:8b,10,10,1.0,0.4,2,0
local,reasoning,gemma4:e4b,10,10,1.0,0.4,0,0
local,reasoning,minicpm-v4.6:latest,10,10,1.0,0.4,0,0
local,reasoning,nemotron-3-nano:4b,10,10,1.0,0.4,0,0
local,reasoning,phi4-mini-reasoning:latest,10,10,1.0,0.4,0,0
local,reasoning,qwen3-vl:8b,10,10,1.0,0.4,2,0
local,reasoning,qwen3.5:9b,10,10,1.0,0.4,0,1
local,reasoning,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,10,10,1.0,0.3,0,0
local,reasoning,qwen3.5:4b,10,10,1.0,0.3,0,2
local,reasoning,openbmb/minicpm5:Q4_K_M,10,10,1.0,0.23,0,2
local,reasoning,ornith:9b,10,10,1.0,0.0,0,0
local,safety,granite4.1-guardian:8b,20,20,1.0,1.0,0,0
local,safety,shieldgemma:2b,20,20,1.0,0.75,0,0
local,tools,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,8,8,1.0,0.75,0,0
local,tools,lfm2.5:8b,8,8,1.0,0.75,0,0
local,tools,qwen3-vl:8b,8,8,1.0,0.75,0,0
local,tools,gemma4:e4b,8,8,1.0,0.625,0,0
local,tools,granite4:7b-a1b-h,8,8,1.0,0.625,0,0
local,tools,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,8,8,1.0,0.625,0,0
local,tools,llama3.2:3b,8,8,1.0,0.625,0,0
local,tools,ministral-3:8b,8,8,1.0,0.625,0,0
local,tools,qwen3.5:4b,8,8,1.0,0.625,0,0
local,tools,qwen3.5:9b,8,8,1.0,0.625,0,0
local,tools,rnj-1:latest,8,8,1.0,0.625,0,0
local,tools,granite4.1:8b,8,8,1.0,0.5,0,0
local,tools,minicpm-v4.6:latest,8,8,1.0,0.5,0,0
local,tools,olmo-3:7b-instruct,8,8,1.0,0.5,0,0
local,tools,openbmb/minicpm5:Q4_K_M,8,8,1.0,0.5,0,0
local,tools,ornith:9b,8,8,1.0,0.5,0,0
local,tools,nemotron-3-nano:4b,8,8,1.0,0.375,0,0
local,tools,mistral:7b,8,8,1.0,0.25,0,0
local,tools,deepseek-r1:8b,8,8,1.0,0.125,0,0
local,tools,phi4-mini-reasoning:latest,8,8,1.0,0.125,0,0
local,tools,smollm2:1.7b,8,8,1.0,0.125,0,0
local,tools,deepscaler:1.5b,8,8,1.0,0.0,0,0
local,tools,functiongemma:270m,8,8,1.0,0.0,0,0
local,tools,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,8,8,1.0,0.0,0,0
local,tools,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,8,8,1.0,0.0,0,0
local,tools,huggingface.co/llmware/phi-4-mini-gguf:latest,8,8,1.0,0.0,0,0
local,tools,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,8,8,1.0,0.0,0,0
local,tools,phi4-mini:latest,8,8,1.0,0.0,0,0
local,translation,gemma4:e4b,6,6,1.0,1.0,0,0
local,translation,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,6,6,1.0,1.0,0,0
local,translation,granite4.1:8b,6,6,1.0,0.966667,0,0
local,translation,ministral-3:8b,6,6,1.0,0.966667,0,0
local,translation,deepseek-r1:8b,6,6,1.0,0.95,0,0
local,translation,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,6,6,1.0,0.95,0,0
local,translation,minicpm-v4.6:latest,6,6,1.0,0.933333,0,0
local,translation,olmo-3:7b-instruct,6,6,1.0,0.933333,0,0
local,translation,ornith:9b,6,6,1.0,0.933333,0,0
local,translation,rnj-1:latest,6,6,1.0,0.933333,0,0
local,translation,granite4:7b-a1b-h,6,6,1.0,0.916667,0,0
local,translation,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,6,6,1.0,0.916667,0,0
local,translation,mistral:7b,6,6,1.0,0.9,0,0
local,translation,translategemma:latest,6,6,1.0,0.9,0,0
local,translation,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,6,6,1.0,0.883333,0,0
local,translation,lfm2.5:8b,6,6,1.0,0.883333,0,0
local,translation,llama3.2:3b,6,6,1.0,0.866667,0,0
local,translation,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,6,6,1.0,0.85,0,0
local,translation,openbmb/minicpm5:Q4_K_M,6,6,1.0,0.85,0,0
local,translation,gemma3n:e4b,6,6,1.0,0.833333,0,0
local,translation,phi4-mini:latest,6,6,1.0,0.833333,0,0
local,translation,huggingface.co/llmware/phi-4-mini-gguf:latest,6,6,1.0,0.8,0,0
local,translation,kaelri/hy-mt2:7b-q4_K_M,6,6,1.0,0.8,0,0
local,translation,smollm2:1.7b,6,6,1.0,0.783333,0,0
local,translation,nemotron-3-nano:4b,6,6,1.0,0.733333,0,0
local,translation,deepscaler:1.5b,6,6,1.0,0.716667,0,0
local,translation,phi4-mini-reasoning:latest,6,6,1.0,0.7,0,1
local,translation,qwen3-vl:8b,6,6,1.0,0.7,0,2
local,translation,olmo-3:7b-think,6,6,1.0,0.6,0,3
local,translation,qwen3.5:4b,6,6,1.0,0.533333,0,3
local,translation,qwen3.5:9b,6,6,1.0,0.516667,0,3
local,vision,gemma4:e4b,8,8,1.0,0.125,0,0
local,vision,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,8,8,1.0,0.125,0,0
local,vision,ministral-3:8b,8,8,1.0,0.125,0,0
local,vision,qwen3-vl:8b,8,8,1.0,0.125,0,0
local,vision,qwen3.5:4b,8,8,1.0,0.125,0,4
local,vision,qwen3.5:9b,8,8,1.0,0.125,0,1
local,vision,minicpm-v4.6:latest,8,8,1.0,0.0,0,0
